RespondentID,Project,Soddisfazione (1-5),Chiarezza contenuti (1-5),Utilità pratica (1-5),Consiglierei ad altri (1-5)
141,Progetto C,1,1,4,2
142,Progetto C,5,5,5,5
143,Progetto C,4,5,5,2
144,Progetto C,4,1,3,4
145,Progetto C,4,5,5,1
146,Progetto C,4,5,2,5
147,Progetto C,4,5,3,1
148,Progetto C,3,3,5,1
149,Progetto C,2,4,1,1
150,Progetto C,4,2,2,3
151,Progetto D,1,3,2,3
152,Progetto D,1,5,2,1
153,Progetto D,1,1,3,5
154,Progetto D,1,5,5,4
155,Progetto D,3,4,5,4
156,Progetto D,1,5,1,2
157,Progetto D,4,1,1,5
158,Progetto D,5,4,2,3
159,Progetto D,1,5,1,1
160,Progetto D,3,4,3,2
161,Progetto D,3,2,5,4
162,Progetto D,1,2,2,3
163,Progetto D,5,5,1,3
164,Progetto D,1,4,3,1
165,Progetto D,3,1,3,4
166,Progetto D,2,5,1,5
167,Progetto D,4,2,5,3
168,Progetto D,3,2,1,1
169,Progetto D,1,5,2,5
170,Progetto D,4,4,1,4
171,Progetto D,1,2,3,3
172,Progetto D,1,4,1,5
173,Progetto D,2,2,5,5
174,Progetto D,4,2,4,5
175,Progetto D,4,3,1,3
176,Progetto D,2,2,5,3
177,Progetto D,3,1,5,2
178,Progetto D,1,5,3,4
179,Progetto D,5,5,5,1
180,Progetto D,1,4,5,5
181,Progetto D,1,2,5,2
182,Progetto D,3,1,5,1
183,Progetto D,1,4,2,2
184,Progetto D,2,3,2,3
185,Progetto D,2,4,3,5
186,Progetto D,4,4,1,1
187,Progetto D,5,2,5,1
188,Progetto D,1,3,1,1
189,Progetto D,1,4,1,1
190,Progetto D,3,1,3,1
191,Progetto D,2,1,5,2
192,Progetto D,5,5,5,5
193,Progetto D,4,3,4,3
194,Progetto D,2,3,1,3
195,Progetto D,4,5,1,3
196,Progetto D,3,4,2,3
197,Progetto D,3,3,4,2
198,Progetto D,1,1,2,4
199,Progetto D,5,1,2,5
200,Progetto D,4,2,2,1
201,Progetto E,2,3,3,4
202,Progetto E,3,4,3,3
203,Progetto E,1,5,2,4
204,Progetto E,1,5,4,5
205,Progetto E,4,4,1,1
206,Progetto E,3,2,4,1
207,Progetto E,5,5,5,5
208,Progetto E,3,3,3,5
209,Progetto E,4,2,1,3
210,Progetto E,4,3,1,1
211,Progetto E,3,1,5,4
212,Progetto E,4,2,5,2
213,Progetto E,3,5,2,2
214,Progetto E,2,2,3,5
215,Progetto E,3,2,3,3
216,Progetto E,3,2,4,2
217,Progetto E,4,2,2,1
218,Progetto E,4,3,2,5
219,Progetto E,1,1,2,4
220,Progetto E,1,4,2,5
221,Progetto E,2,2,3,4
222,Progetto E,1,5,3,5
223,Progetto E,3,2,2,5
224,Progetto E,4,5,4,5
225,Progetto E,1,3,1,4
226,Progetto E,1,5,1,4
227,Progetto E,2,4,4,5
228,Progetto E,2,1,2,2
229,Progetto E,3,5,3,3
230,Progetto E,4,5,1,3
231,Progetto E,2,1,5,3
232,Progetto E,1,4,5,4
233,Progetto E,4,2,4,4
234,Progetto E,4,5,2,2
235,Progetto E,1,1,1,3
236,Progetto E,2,3,2,3
237,Progetto E,1,1,1,5
238,Progetto E,4,3,4,4
239,Progetto E,5,4,4,3
240,Progetto E,5,2,5,2
241,Progetto E,3,1,2,2
242,Progetto E,1,5,5,3
243,Progetto E,1,4,2,4
244,Progetto E,3,1,5,2
245,Progetto E,3,5,3,5
246,Progetto E,3,1,3,2
247,Progetto E,4,3,3,1
248,Progetto E,1,1,3,1
249,Progetto E,4,1,1,4
250,Progetto E,3,1,3,3
